Feature,Importance_Mean,Importance_Std
thal,0.1693989071038251,0.042398174297859734
thalach,0.015300546448087449,0.00839469480641379
chol,0.011475409836065587,0.007512419172058763
restecg,0.010928961748633892,0.007727942963787414
cp,0.010928961748633885,0.021304468513243646
slope,0.009289617486338804,0.021864753031412647
ca,0.00601092896174864,0.00789990835781474
exang,0.00601092896174864,0.00789990835781474
trestbps,0.004371584699453557,0.007249453093673014
fbs,0.002732240437158473,0.006109475348360087
oldpeak,0.0016393442622950837,0.014260096558141968
age,-0.002732240437158473,0.015310301340023952
sex,-0.0076502732240437245,0.00817848609130917
